Theta,Layer 1 Depth,Layer 2 Depth,Number of Trainign Steps,Batch Size,Dropout Prob,Weight Penalty,Training Accuracy,Validation Accuracy,Testing Accuracy,Sensitivity,Specificity,Mean Accuracy,Test Sensitivity,Test Specificity,Test Mean Accuracy,Balanced
0.6,16,64,3401,100,0.9,0.01,90.47%,88.29%,91.07%,84.30%,87.68%,85.99%,86.90%,92.46%,89.68%,TRUE
0,16,16,3401,100,0.9,0.01,89.09%,85.02%,87.50%,81.16%,88.89%,85.02%,82.94%,92.06%,87.50%,TRUE
0.2,16,16,3401,100,0.9,0.01,89.53%,86.11%,90.28%,84.06%,87.92%,85.99%,87.30%,92.86%,90.08%,TRUE
0.4,16,16,3401,100,0.9,0.01,90.09%,88.77%,93.45%,88.16%,88.89%,88.53%,92.06%,93.65%,92.86%,TRUE
0.6,16,16,3401,100,0.9,0.01,89.85%,87.32%,94.05%,85.27%,85.75%,85.51%,91.67%,91.67%,91.67%,TRUE
0,16,32,3401,100,0.9,0.01,89.41%,87.20%,88.49%,85.99%,88.41%,87.20%,84.92%,92.06%,88.49%,TRUE
0.2,16,32,3401,100,0.9,0.01,89.47%,87.44%,90.48%,88.16%,87.44%,87.80%,88.89%,91.67%,90.28%,TRUE
0.4,16,32,3401,100,0.9,0.01,89.68%,87.92%,93.85%,87.92%,87.44%,87.68%,91.67%,92.86%,92.26%,TRUE
0.6,16,32,3401,100,0.9,0.01,89.47%,88.53%,91.07%,87.44%,89.61%,88.53%,89.29%,92.86%,91.07%,TRUE
0,16,48,3401,100,0.9,0.01,89.00%,86.23%,92.46%,82.37%,90.10%,86.23%,90.87%,94.05%,92.46%,TRUE
0.2,16,48,3401,100,0.9,0.01,90.47%,87.92%,92.26%,86.71%,89.61%,88.16%,90.08%,94.44%,92.26%,TRUE
0.4,16,48,3401,100,0.9,0.01,88.91%,86.47%,90.87%,84.54%,88.89%,86.71%,88.10%,93.65%,90.87%,TRUE
0.6,16,48,3401,100,0.9,0.01,89.14%,87.44%,91.27%,85.51%,88.65%,87.08%,85.71%,94.44%,90.08%,TRUE
0,32,16,3401,100,0.9,0.01,91.03%,89.86%,94.05%,90.10%,89.61%,89.86%,94.44%,93.65%,94.05%,TRUE
0.2,32,16,3401,100,0.9,0.01,89.59%,84.66%,87.70%,81.16%,87.92%,84.54%,82.94%,92.06%,87.50%,TRUE
0.4,32,16,3401,100,0.9,0.01,90.59%,89.61%,91.67%,86.23%,91.55%,88.89%,87.70%,95.63%,91.67%,TRUE
0.6,32,16,3401,100,0.9,0.01,91.06%,90.70%,93.25%,93.72%,86.23%,89.98%,92.06%,89.68%,90.87%,TRUE
0,32,32,3401,100,0.9,0.01,89.41%,85.99%,91.07%,83.09%,88.89%,85.99%,90.87%,91.27%,91.07%,TRUE
0.2,32,32,3401,100,0.9,0.01,89.65%,86.96%,90.48%,85.99%,87.68%,86.84%,87.70%,91.67%,89.68%,TRUE
0.4,32,32,3401,100,0.9,0.01,90.56%,89.86%,94.44%,91.55%,88.89%,90.22%,96.03%,93.25%,94.64%,TRUE
0.6,32,32,3401,100,0.9,0.01,91.83%,87.80%,90.08%,85.02%,90.10%,87.56%,85.32%,94.84%,90.08%,TRUE
0,32,48,3401,100,0.9,0.01,90.18%,89.25%,90.67%,92.75%,85.75%,89.25%,91.27%,90.08%,90.67%,TRUE
0.2,32,48,3401,100,0.9,0.01,91.36%,89.01%,93.25%,86.47%,91.30%,88.89%,91.27%,94.84%,93.06%,TRUE
0.4,32,48,3401,100,0.9,0.01,90.97%,89.13%,94.25%,88.16%,89.86%,89.01%,94.44%,94.05%,94.25%,TRUE
0.6,32,48,3401,100,0.9,0.01,90.38%,89.01%,92.66%,88.16%,89.13%,88.65%,89.29%,94.44%,91.87%,TRUE
0,48,16,3401,100,0.9,0.01,90.77%,86.23%,90.48%,84.30%,88.16%,86.23%,88.10%,92.86%,90.48%,TRUE
0.2,48,16,3401,100,0.9,0.01,89.44%,88.04%,92.86%,86.96%,88.16%,87.56%,92.86%,92.86%,92.86%,TRUE
0.4,48,16,3401,100,0.9,0.01,90.94%,88.89%,93.45%,87.68%,90.10%,88.89%,94.05%,92.86%,93.45%,TRUE
0.6,48,16,3401,100,0.9,0.01,89.79%,87.68%,90.28%,86.23%,88.65%,87.44%,88.10%,92.06%,90.08%,TRUE
0,48,32,3401,100,0.9,0.01,88.14%,86.47%,91.67%,90.34%,82.61%,86.47%,96.43%,86.90%,91.67%,TRUE
0.2,48,32,3401,100,0.9,0.01,89.06%,87.32%,90.28%,82.85%,91.06%,86.96%,87.70%,94.84%,91.27%,TRUE
0.4,48,32,3401,100,0.9,0.01,90.94%,89.86%,92.46%,88.89%,87.68%,88.29%,94.84%,90.87%,92.86%,TRUE
0.6,48,32,3401,100,0.9,0.01,89.91%,88.16%,91.87%,89.37%,86.47%,87.92%,93.65%,90.08%,91.87%,TRUE
0,48,48,3401,100,0.9,0.01,90.12%,86.35%,92.86%,81.64%,91.06%,86.35%,90.87%,94.84%,92.86%,TRUE
0.2,48,48,3401,100,0.9,0.01,91.33%,89.01%,93.65%,88.89%,88.41%,88.65%,93.65%,93.65%,93.65%,TRUE
0.4,48,48,3401,100,0.9,0.01,91.12%,88.41%,93.65%,86.71%,89.61%,88.16%,90.48%,93.65%,92.06%,TRUE
0.6,48,48,3401,100,0.9,0.01,89.14%,87.44%,90.28%,86.47%,87.92%,87.20%,86.51%,92.06%,89.29%,TRUE
0,16,16,3401,100,0.9,0.01,89.14%,86.71%,93.63%,80.92%,92.51%,86.71%,85.48%,95.63%,90.56%,FALSE
0.2,16,16,3401,100,0.9,0.01,89.20%,87.80%,92.04%,88.16%,87.44%,87.80%,90.32%,92.46%,91.39%,FALSE
0.4,16,16,3401,100,0.9,0.01,90.71%,89.86%,93.31%,90.34%,89.37%,89.86%,91.94%,93.65%,92.79%,FALSE
0.6,16,16,3401,100,0.9,0.01,88.67%,88.16%,89.81%,91.06%,84.54%,87.80%,90.32%,88.89%,89.61%,FALSE
0,16,32,3401,100,0.9,0.01,90.32%,89.73%,92.36%,90.34%,89.13%,89.73%,88.71%,93.25%,90.98%,FALSE
0.2,16,32,3401,100,0.9,0.01,88.94%,87.56%,89.81%,91.30%,84.06%,87.68%,90.32%,89.29%,89.80%,FALSE
0.4,16,32,3401,100,0.9,0.01,90.15%,89.61%,93.63%,89.86%,89.37%,89.61%,91.94%,94.05%,92.99%,FALSE
0.6,16,32,3401,100,0.9,0.01,89.59%,86.71%,92.36%,82.37%,90.10%,86.23%,82.26%,94.05%,88.15%,FALSE
0,16,48,3401,100,0.9,0.01,91.50%,90.10%,93.63%,91.06%,89.13%,90.10%,91.94%,94.05%,92.99%,FALSE
0.2,16,48,3401,100,0.9,0.01,89.59%,89.25%,92.99%,89.13%,88.65%,88.89%,91.94%,92.86%,92.40%,FALSE
0.4,16,48,3401,100,0.9,0.01,89.62%,88.77%,91.72%,87.20%,89.61%,88.41%,85.48%,92.86%,89.17%,FALSE
0.6,16,48,3401,100,0.9,0.01,86.11%,82.13%,91.40%,70.77%,91.30%,81.04%,79.03%,94.05%,86.54%,FALSE
0,32,16,3401,100,0.9,0.01,90.15%,89.13%,91.72%,89.13%,89.13%,89.13%,90.32%,92.06%,91.19%,FALSE
0.2,32,16,3401,100,0.9,0.01,89.53%,88.65%,92.36%,88.89%,88.41%,88.65%,90.32%,92.86%,91.59%,FALSE
0.4,32,16,3401,100,0.9,0.01,90.47%,88.53%,90.45%,88.65%,88.16%,88.41%,90.32%,90.87%,90.60%,FALSE
0.6,32,16,3401,100,0.9,0.01,89.71%,90.10%,90.45%,94.20%,85.51%,89.86%,93.55%,89.68%,91.62%,FALSE
0,32,32,3401,100,0.9,0.01,91.18%,90.34%,93.95%,89.86%,90.82%,90.34%,90.32%,94.84%,92.58%,FALSE
0.2,32,32,3401,100,0.9,0.01,86.64%,84.90%,92.04%,78.26%,90.82%,84.54%,80.65%,94.84%,87.74%,FALSE
0.4,32,32,3401,100,0.9,0.01,89.32%,88.53%,90.76%,90.58%,86.23%,88.41%,90.32%,90.48%,90.40%,FALSE
0.6,32,32,3401,100,0.9,0.01,90.09%,89.86%,92.04%,92.27%,87.68%,89.98%,91.94%,92.06%,92.00%,FALSE
0,32,48,3401,100,0.9,0.01,90.80%,88.65%,91.08%,89.37%,87.92%,88.65%,88.71%,91.67%,90.19%,FALSE
0.2,32,48,3401,100,0.9,0.01,90.65%,88.65%,92.04%,89.86%,89.37%,89.61%,88.71%,93.25%,90.98%,FALSE
0.4,32,48,3401,100,0.9,0.01,90.18%,88.89%,91.72%,88.16%,87.92%,88.04%,85.48%,92.86%,89.17%,FALSE
0.6,32,48,3401,100,0.9,0.01,85.31%,83.70%,90.13%,75.36%,91.55%,83.45%,72.58%,94.05%,83.31%,FALSE
0,48,16,3401,100,0.9,0.01,90.35%,88.53%,92.36%,88.41%,88.65%,88.53%,90.32%,92.86%,91.59%,FALSE
0.2,48,16,3401,100,0.9,0.01,91.80%,90.10%,92.99%,89.86%,90.34%,90.10%,91.94%,93.65%,92.79%,FALSE
0.4,48,16,3401,100,0.9,0.01,89.50%,86.23%,92.68%,82.61%,89.61%,86.11%,88.71%,93.25%,90.98%,FALSE
0.6,48,16,3401,100,0.9,0.01,90.59%,89.61%,92.68%,86.96%,89.61%,88.29%,85.48%,93.25%,89.37%,FALSE
0,48,32,3401,100,0.9,0.01,87.52%,84.42%,92.68%,76.81%,92.03%,84.42%,83.87%,94.84%,89.36%,FALSE
0.2,48,32,3401,100,0.9,0.01,89.14%,87.68%,90.45%,89.61%,85.75%,87.68%,88.71%,90.87%,89.79%,FALSE
0.4,48,32,3401,100,0.9,0.01,89.29%,88.16%,91.72%,88.41%,87.20%,87.80%,87.10%,92.06%,89.58%,FALSE
0.6,48,32,3401,100,0.9,0.01,90.03%,89.61%,92.99%,91.06%,87.92%,89.49%,91.94%,92.86%,92.40%,FALSE
0,48,48,3401,100,0.9,0.01,90.15%,86.96%,91.40%,88.65%,85.27%,86.96%,91.94%,91.27%,91.60%,FALSE
0.2,48,48,3401,100,0.9,0.01,90.97%,89.37%,91.08%,90.82%,87.44%,89.13%,91.94%,90.87%,91.40%,FALSE
0.4,48,48,3401,100,0.9,0.01,88.32%,86.11%,93.63%,78.74%,92.27%,85.51%,80.65%,96.03%,88.34%,FALSE
0.6,48,48,3401,100,0.9,0.01,90.97%,90.34%,94.27%,90.58%,89.37%,89.98%,91.94%,94.05%,92.99%,FALSE